date,height,yield
1957.75,-272.8,1.7
1971.666667,-272.8,
1968.5,-273,
1975.166667,-274,
1983.166667,-274,
1973.333333,-277,8
1963.25,-279.5,11
1977.25,-282,
1972.666667,-287,
1982.5,-289,
1988.666667,-289.6,2
1990.75,-291,
1983.75,-293,0.6
1985.5,-293.2,8
1981.666667,-294,4
1972.583333,-294.2,1.5
1987.166667,-298.4,6
1965.75,-301.9,9
1969.5,-303,10
1962.166667,-304.8,11.9
1965.333333,-304.8,20
1971.583333,-304.8,0.25
1971.833333,-304.8,5
1972.166667,-304.8,3.5
1975.166667,-304.8,6
1981.75,-305.4,1
1962.5,-310.9,
1973.833333,-310.9,1
1969.833333,-312,
1984.666667,-314,
1978.583333,-315,1.5
1976.916667,-317.3,2
1977.166667,-317.6,8
1978.166667,-319.6,0.8
1987.333333,-319.7,2.5
1977.666667,-320,0.6
1980.916667,-320,2
1981.416667,-320,2.5
1983.5,-320,6
1983.666667,-320,5
1984.25,-320,6
1965.666667,-321,18
1987.5,-321.3,
1981.333333,-323,
1983.666667,-326,2.5
1966.5,-327.7,
1977,-330.8,11
1978.25,-331,1.5
1968.75,-331.8,20
1991.25,-333,3.5
1984.666667,-334.1,10
1970.416667,-335,0.09
1982,-335,5
1982.416667,-335,3.5
1979.416667,-335.3,5
1979.5,-335.3,1.5
1980.416667,-335.6,
1981.583333,-341,4
1974.083333,-342.9,
1974.083333,-343,
1983.166667,-343,1.5
1970.333333,-343.5,12.7
1980.416667,-350.5,6
1990.5,-350.5,2
1988.416667,-351.4,3.5
1981.166667,-353.6,
1982.333333,-356.3,6
1962,-360,3
1984.166667,-360.9,20
1970.166667,-363,30
1985.75,-364.8,10
1980.166667,-369,5
1963.833333,-370,12
1989.166667,-370,5
1985.833333,-371,0.075
1984.916667,-372.2,5
1967.5,-374.9,20
1983.416667,-379.2,4
1968.583333,-381,20
1980.75,-381,20
1985.5,-381,3.5
1986.583333,-381,8
1977.833333,-381.3,5
1989,-384,3
1983.416667,-384.4,6
1992.75,-385.3,4
1978.75,-388,8
1984.083333,-388,20
1985.333333,-388.6,15
1980.833333,-389.5,10
1990.583333,-389.5,10
1983.416667,-390,6
1989.416667,-392,
1969.916667,-393.8,22
1970.166667,-394,20
1986.333333,-394.4,20
1989.416667,-397.8,0.5
1987.25,-398.7,3.5
1982.583333,-400,20
1989,-400,25
1992.5,-400,
1989.416667,-404,8
1965,-404.2,20
1985.833333,-404.5,2.5
1983.75,-404.8,
1982.75,-408,20
1983,-413,20
1985.833333,-415,20
1970,-417,
1980.333333,-417,20
1972.583333,-419.4,21
1970.166667,-420.8,97
1980.75,-424,1.07
1985.25,-425.5,20
1992.75,-426,5
1989.166667,-431,
1973,-440,20
1981.916667,-445,29
1979.666667,-450,20
1982.75,-451,20
1991.833333,-457.2,53
1988.416667,-463,16
1990.25,-469.4,44
1981.833333,-472.1,38
1986.416667,-480,1
1986.75,-487.1,0.35
1988.666667,-489.2,33
1982,-494,20
1989.25,-500,33
1986.75,-502.6,0.1
